EmpID,ProjectID,DateFrom,DateTo
172,3006,01-05-2021,11-05-2022
152,3000,2023-10-09,2023-11-09
109,3006,17-03-2023,2024-02-08
152,3007,2023-12-06,NULL
183,3004,11-01-2020,2024-04-24
108,3001,01-22-2021,06-08-2024
127,3010,07-03-2022,12-30-2024
155,3001,26-01-2020,12-09-2024
138,3006,23-03-2018,04-20-2019
143,3007,02-05-2024,2024-08-26
179,3003,2019-11-11,17-06-2021
134,3006,2020-10-12,2024-10-26
196,3009,12-07-2018,NULL
142,3003,03-22-2019,05-03-2022
114,3005,07-17-2019,2021-11-14
117,3005,05-14-2022,2024-11-14
182,3006,03-02-2020,NULL
140,3006,2022-03-15,03-28-2023
